stop_id,stop_name,stop_desc
1225,Camí nou de Picanya - Arquitecte Segura de Lago,CAMI PICAñA (CNO. NUEVO) 19 - VALÈNCIA
1229,Santiago Rusiñol - Sant Joan Bosco,C SANTIAGO RUSIÑOL SANT JOAN BOSCO - VALÈNCIA
1231,Dolores Marqués - Benicarló,C DOLORES MARQUES 1 - VALÈNCIA
1232,Dolores Marqués - Reverend José María Pinazo,C DOLORES MARQUES 13 - VALÈNCIA
1233,Dolores Marqués - Assagador d'Alboraia,C DOLORES MARQUES 27 - VALÈNCIA
1239,Primat Reig - Xàbia,AV PRIMADO REIG 187 (DAVANT) - VALÈNCIA
124,Blasco Ibáñez - José María Orense,AV BLASCO IBAÑEZ 149 - VALÈNCIA
1240,Lliri Blau - Mestre Ventura Pascual,C LLIRI BLAU S/N - VALÈNCIA
1241,Blasco Ibáñez - Dr. Moliner,AV BLASCO IBAÑEZ BARDISSA CENTRAL - VALÈNCIA
1242,Mediterrània - Dr. Lluch,C MEDITERRANEO 32 - VALÈNCIA
1243,Mediterrània - Reina,C MEDITERRANEO 21 - VALÈNCIA
1245,Albereda - Armando Palacio Valdés,PSEG ALAMEDA DAVANT P.VALDÉS) - VALÈNCIA
125,Blasco Ibáñez - Actor Enrique Rambal,AV BLASCO IBAÑEZ 127 - VALÈNCIA
1252,Pl. de l'Ajuntament - Sang,PL AYUNTAMIENTO 2 - VALÈNCIA
1254,Cid - Aiora,AV CID 11 - VALÈNCIA
126,Blasco Ibáñez - Hondures,AV BLASCO IBAÑEZ 97 - VALÈNCIA
1261,Pau - Bonaire,C PAZ 25 - VALÈNCIA
1262,Sorní - Comte de Salvatierra,C SORNI 13 - VALÈNCIA
1263,Comte de Salvatierra - Colón,C CONDE DE SALVATIERRA 3 - VALÈNCIA
1265,Campanar (par) - la Fe,AV CAMPANAR CONSELLERIA - VALÈNCIA
1266,Campanar (impar) - la Fe,AV CAMPANAR 21 - VALÈNCIA
1268,Tres Creus - Hospital,AV TRES CRUCES 2 (CARRIL BUS) - VALÈNCIA
127,Blasco Ibáñez - Actriu Encarna Máñez,AV BLASCO IBAÑEZ 126 - VALÈNCIA
1272,Pius XII (impar) - Monestir de Poblet,AV PIO XII 51 - VALÈNCIA
1274,Tres Creus - Rei Saud,AV TRES CRUCES 10 - VALÈNCIA
1277,Primat Reig - Ministre Luis Mayans,AV PRIMADO REIG 18 - VALÈNCIA
1278,Àngel Guimerà - Ferran el Catòlic,C ANGEL GUIMERA 10 - VALÈNCIA
128,Blasco Ibáñez - Músic Ginés,AV BLASCO IBAÑEZ 158 - VALÈNCIA
1280,Pintor Jacomart - Alcanyís,C PINTOR JACOMART 57 - VALÈNCIA
1282,Ramon Llull - Albalat dels Tarongers,C RAMON LLULL SOLAR - VALÈNCIA
1283,Ramon Llull - Campus Tarongers,C RAMON LLULL NOVES FACULTATS - VALÈNCIA
1289,Vicent Puchol - Arbres,C VICENTE PUCHOL 25 - CASTELLAR-OLIVERAL
129,Blasco Ibáñez - Enginyer Rafael Janini,AV BLASCO IBAÑEZ 168 - VALÈNCIA
1290,Vicent Puchol - Carrera dels Bales,C VICENTE PUCHOL 24 - CASTELLAR-OLIVERAL
1295,Mestre Rodrigo - Marqués de Sant Joan,AV MAESTRO RODRIGO 10 - VALÈNCIA
1296,Marqués de Sant Joan - Campanar,C MARQUÉS DE SAN JUAN 7 - VALÈNCIA
1298,Espinosa - Ferran el Catòlic,C ESPINOSA 1 - VALÈNCIA
1299,Guillem Sorolla - Torn de l'Hospital,C GUILLEM SOROLLA 18 (DAVANT) - VALÈNCIA
13,Dr. Lluch - Vicent Guillot,C DOCTOR LLUCH 228 - VALÈNCIA
1300,Editor Manuel Aguilar - Baró de Càrcer,C EDITOR MANUEL AGUILAR 1 - VALÈNCIA
1301,Baró de Càrcer - Beata,AV BARON DE CARCER 24 - VALÈNCIA
1305,Guillem de Castro - Lliria,C GUILLEM DE CASTRO 160 - VALÈNCIA
1306,Manuel Soto Enginyer (impar) - Pont de les Drassanes,AV INGENIERO MANUEL SOTO 15 (DAVANT ILLETA) - VALÈNCIA
1307,Tres Creus - Llombai,AV TRES CRUCES 49 - VALÈNCIA
1310,Manuel Carboneres - Sant Francesc de Paula,C MANUEL CARBONERES 8 (DAVANT) - VALÈNCIA
1311,Pare Ferrís - Menéndez Pidal,C PADRE FERRIS 21 - VALÈNCIA
1318,Molinell (par) - Alboraia,C MOLINELL 8 - VALÈNCIA
1319,Corts Valencianes - Palau de Congressos,AV CORTS VALENCIANES P.CONGRESSOS (PAR) - VALÈNCIA
1320,Camp de Túria (par) - Corts Valencianes,C CAMP DEL TURIA 6 - VALÈNCIA
1321,Camp de Túria (impar) - Corts Valencianes,C CAMP DEL TURIA 6 (DAVANT) - VALÈNCIA
1326,Ninot - Foc,C NINOT  DEL 19 (DAVANT) - VALÈNCIA
1327,Francisco Morote Greus - Louis Braille,C FRANCISCO MOROTE GREUS 2 (DAVANT) - VALÈNCIA
1329,Palmaret - Montcada,AV PALMARET  DEL s/n - CARPESA
1330,Quartell - Burjassot,C CUARTELL 4 - VALÈNCIA
1331,Florista - Carrasqueta,C FLORISTA 113 - VALÈNCIA
1332,Florista - Faura,C FLORISTA 63 - VALÈNCIA
1333,Bon Recés - Florista,C BUEN RETIRO CANTÓ FLORISTA - VALÈNCIA
1348,Dr. Nicasi Benlloch - Emili Nadal,C DOCTOR NICASIO BENLLOCH 27 - VALÈNCIA
1349,Sant Vicent Màrtir - Mossén Febrer,C SAN VICENTE MARTIR 306 - VALÈNCIA
135,Sants Just i Pastor - Humanista Furió,C SANTOS JUSTO Y PASTOR 81 - VALÈNCIA
1350,Sant Vicent Màrtir - Almudaina,C SAN VICENTE MARTIR 267 - VALÈNCIA
1352,la Plata - Alberola,AV PLATA  DE  LA 33 - VALÈNCIA
1353,la Plata - Ausiàs March,AV PLATA  DE  LA 7 - VALÈNCIA
1354,Bernat Descoll - Joaquín Benlloch,C BERNAT DESCOLL 14 - VALÈNCIA
1355,Oltà - Ausiàs March,C OLTA 70 - VALÈNCIA
